ticker,date,setup,grade,cap,status,open_px,close_px,day_low,pm_high,open_to_low_pct,n_rth_bars,overnight_gap_pct,next_day_open_to_low_pct,hold_cc_pct,csv_open_low
MSTR,2024-11-21,3DGapFade,A,Medium,OK,535.63,397.07,371.84,548.2,30.58,390,-1.64,2.6,-6.25,-30.6
CRNC,2025-01-06,2DGapFade,B,Medium,OK,23.63,20.19,19.07,25.91,19.3,390,6.09,1.64,6.04,-19.3
IONQ,2025-01-08,GapDownTrendBreak,C,Medium,OK,38.75,30.25,25.92,45.66,33.1,390,-5.75,10.88,-6.88,-33.1
CRCL,2025-06-23,3DGapFade,A,Medium,OK,238.46,263.38,232.48,266.3,2.51,390,4.92,13.11,15.46,-2.5
OPEN,2025-07-21,3DGapFade,A,Small,OK,2.69,3.11,2.53,3.14,5.94,381,-20.99,31.36,10.42,-5.9
BYND,2025-10-22,3DGapFade,B,Small,OK,6.17,3.58,2.62,8.86,57.54,334,17.6,6.1,20.67,-57.5
GLD,2025-10-17,3DGapFade,A,ETF,OK,397.14,388.85,385.22,402.89,3.0,390,-2.21,0.82,-3.68,-3.0
SNDK,2025-11-13,GapDownTrendBreak,B,Medium,OK,268.0,243.53,234.13,284.2,12.64,390,3.09,0.4,-4.36,-12.6
SLV,2026-01-26,3DGapFade,B,ETF,OK,99.37,98.32,96.51,100.5,2.88,390,0.35,2.97,-3.33,-2.9
GLD,2026-01-29,3DGapFade,A,ETF,OK,509.51,495.74,468.51,514.15,8.05,390,5.95,7.6,10.24,-8.0
EWY,2026-02-26,3DGapFade,A,ETF,OK,153.3,150.4,146.58,156.89,4.39,390,1.49,0.13,-0.64,-4.4
GLW,2026-02-26,GapDownTrendBreak,C,Medium,OK,158.36,150.32,148.4,163.3,6.29,390,0.88,1.6,-0.04,-6.3
CAR,2026-04-22,3DGapFade,B,Medium,OK,774.99,442.04,427.99,793.99,44.77,390,9.06,48.35,48.16,-44.8
BE,2026-04-30,2DGapFade,B,Medium,OK,295.73,283.14,261.52,297.94,11.57,390,-0.28,3.78,-2.61,-11.6
SNDK,2026-05-06,3DGapFade,B,Large,OK,1437.4,1409.62,1337.56,1510.11,6.95,390,2.14,6.3,4.94,-7.1
SOXL,2026-05-12,GapDownTrendBreak,B,ETF,OK,177.62,172.54,150.58,184.87,15.22,390,-6.54,6.3,-6.78,-15.2
MU,2026-05-12,GapDownTrendBreak,B,Large,OK,774.7,765.76,706.6,787.8,8.79,390,-6.19,4.14,-4.94,-8.8
INTC,2026-05-12,GapDownTrendBreak,B,Large,OK,124.36,120.6,115.0,129.76,7.53,390,-2.91,6.2,0.25,-7.5
SNDK,2026-05-12,GapDownTrendBreak,B,Large,OK,1492.0,1452.03,1367.0,1551.43,8.38,390,-4.16,7.12,0.33,-8.4
