date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?
11/11/2021,EVGO,Medium,3DGapFade,5,A+,GO,0.2747,2.33,4.14,4,0.0565,0.1474,0.8862,0.8908,0.7433,15.41,0.0902,,
1/19/2021,ACTC,Medium,3DGapFade,5,A+,GO,0.3525,1.03,1.58,2,0.1243,0.147,1.2919,1.6891,,26.38,0.0865,N,
7/23/2021,BNTX,Medium,3DGapFade,5,A+,GO,0.1532,1.42,2.14,7,0.0215,0.1461,0.2544,0.1716,0.2879,280.98,0.0484,N,
1/7/2021,OXY,Large,3DGapFade,5,A+,GO,0.0873,1.27,1.38,3,0.0105,0.1461,0.0081,0.269,0.3164,20,0.0515,,
1/25/2021,CYRX,Medium,3DGapFade,5,A+,GO,0.2131,2.13,2.82,4,0.0229,0.146,0.8712,0.7404,0.5718,82.11,0.0659,,
6/9/2021,HYLN,Medium,3DGapFade,5,A+,GO,0.1519,1.78,2.41,3,0.0189,0.1455,0.3738,0.2194,0.3268,13.23,0.0637,,
6/18/2021,ASAN,Medium,3DGapFade,5,A+,GO,0.1603,2.03,1.78,3,0.0216,0.1452,0.4555,0.8807,0.5235,53.62,0.0535,N,
2/10/2021,CRBP,Medium,3DGapFade,5,A+,GO,0.1903,1.61,2.45,2,0.0974,0.145,0.7701,1.4444,0.8371,92.4,0.1297,,
11/8/2021,LCID,Medium,3DGapFade,5,A+,GO,0.1878,1.62,1.68,3,0.0416,0.1438,0.6496,0.6145,0.6693,418,0.085,,
8/10/2021,KLIC,Medium,3DGapFade,5,A+,GO,0.1589,1.65,2.1,3,0.0022,0.1436,0.3027,0.0947,0.2378,69.03,0.0442,,
8/11/2021,LTHM,Medium,3DGapFade,5,A+,GO,0.1739,2.29,3.29,4,0.0099,0.141,0.291,0.3469,0.3007,25.24,0.0478,,
2/9/2021,HOL,Medium,3DGapFade,5,A+,GO,0.3116,1.66,1.71,6,0.0009,0.1402,1.0534,1.0776,0.9257,21.15,0.0634,,
11/5/2021,SOXL,Medium,3DGapFade,5,A+,GO,0.1675,2.16,1.63,6,0.0162,0.1401,0.412,0.2321,0.3164,59.08,0.0412,,
1/19/2021,NGA,Medium,3DGapFade,5,A+,GO,0.2262,1.15,1.74,5,0.0215,0.1399,0.8196,1.5097,1.1014,33.48,0.1007,,
2/5/2021,HOL,Medium,3DGapFade,5,A+,GO,0.3497,3.4,4.22,4,0.0367,0.1387,0.7734,0.8133,0.7558,18.55,0.0578,,
2/26/2021,SEAS,Medium,3DGapFade,5,A+,GO,0.163,2.54,3.31,9,0.0477,0.1386,0.3275,0.5239,0.4165,45.93,0.052,,
9/3/2021,HUT,Medium,3DGapFade,5,A+,GO,0.1551,1.49,1.96,2,0.0672,0.1361,0.3613,1.1834,0.6328,44.65,0.0812,,
9/2/2021,YMM,Medium,3DGapFade,5,A+,GO,0.1931,1.62,1.84,5,0.0045,0.1361,0.4349,0.1848,0.2303,17.95,0.0699,,
6/8/2021,CLNE,Medium,3DGapFade,5,A+,GO,0.17,1.74,3.1,5,0.0154,0.136,0.2743,-0.0742,0.0034,10.36,0.0673,N,
2/24/2021,CTXR,Medium,3DGapFade,5,A+,GO,0.2747,2.42,1.87,4,0.0085,0.1359,0.814,1.1667,0.8482,58.5,0.138,,
1/26/2021,DDS,Medium,3DGapFade,5,A+,GO,0.197,2.23,3.13,5,0.0094,0.1329,0.5031,0.665,0.5647,87.18,0.0726,,
11/15/2021,APLS,Medium,3DGapFade,5,A+,GO,0.1657,1.5,3.12,4,0.0115,0.1322,0.3556,0.3178,0.2203,43.5,0.0476,N,
5/3/2021,OCGN,Large,3DGapFade,5,A+,GO,0.2118,1.22,1.72,2,0.0994,0.1302,0.8967,0.4204,0.4998,12.67,0.1285,,
