date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position
2024-12-17,EWZ,ETF,GapFade_weakstock,4,C,NO-GO,-0.05617118838364549,3,-0.13726859937128885,-0.044939271255060705,0.8022879343837717,1.3252002845699902,-0.15910885965629,-0.09718922475236677,-0.04003109211037704,-0.09919766593727214,-0.11151079136690652,-0.30889759373251263,24.7,0.026795835743204183,0.017380245866892758,0.02651839178785291,0.7560975609756108
2024-12-17,YMM,Medium,GapFade_strongstock,3,F,NO-GO,-0.10659898477157358,5,-0.15316760224538895,-0.004734848484848552,1.2512820512820533,1.0278968543499432,0.2610686840581097,0.1109240868540649,-0.06049822064056937,0.11275026343519497,0.18385650224215253,-0.15316760224538895,10.56,0.04616477272727274,0.03901046622264511,0.0514457378895982,0.8990408884401809
2024-12-17,NVDA,Large,GapFade_strongstock,3,F,NO-GO,-0.03705865188211272,3,-0.1366341814376348,-0.02204545454545452,0.8736965895727206,1.0715049213244208,0.14265979907928888,-0.055038968904339146,-0.03888160768894716,-0.02955447728275261,-0.029768467475193024,-0.3263587649910691,132.0,0.03451028138528139,0.010070493454179123,0.027825949865993908,0.7463002114164871
2024-12-17,FTAI,Medium,GapFade_strongstock,3,F,NO-GO,-0.14396173252080482,4,-0.26267073033073723,-0.0125535823637476,0.9299840533220884,1.6523714015453077,0.21258840146756214,-0.13929754979147865,-0.03286941071957378,-0.22358255081421613,-0.050236277717193925,-0.26267073033073723,130.64,0.0534186641588663,0.008914728682170586,0.047232056646282626,0.713677811550153
2024-12-18,MSTR,Large,GapFade_strongstock,5,B,CAUTION,-0.09049827005907686,2,-0.28836095764272557,-0.0010869002639615339,0.8777444305237331,0.59271811465579,1.0709419543513845,0.25377264152718737,-0.05444490664839601,0.09253866380163425,0.6963125548726953,-0.28836095764272557,386.42,0.08747619170850371,-0.09419689119170988,0.034437869822485166,0.22247706422018326
2024-12-18,MSTX,Medium,GapFade_strongstock,4,C,NO-GO,-0.17471365638766517,2,-0.5761346667270012,-0.0046973417316109505,0.9010706476728979,0.7877639565257506,,0.23262650640460475,-0.11171171171171172,0.12462480489854719,1.1139697585195214,-0.5761346667270012,93.67,0.17807363235675397,-0.18513354070578145,0.0843562660576648,0.23517707918822114
2024-12-19,HIMS,Medium,GapFade_strongstock,3,F,NO-GO,-0.1133540372670808,2,-0.18475157053112512,-0.08791593695271459,1.2135083234710016,0.828000389008804,0.4920264122644049,0.13153555914899026,-0.08639999999999998,-0.05899802241265653,0.21904355251921429,-0.18475157053112512,28.55,0.09914660995746812,0.012288786482334882,0.07067424857839148,0.5454545454545453
2024-12-19,ETHU,Medium,GapFade_strongstock,5,B,CAUTION,-0.16112531969309457,2,-0.21593625498007962,-0.00711382113821141,1.3822697324700486,1.059544475523424,,0.2776731805492437,-0.17241379310344826,-0.020895522388059647,0.6806148590947909,-0.39108910891089105,196.8,0.11469294425087105,-0.16683725690890477,0.03562340966921134,0.13930348258706518
2024-12-19,LEN,Medium,GapFade_weakstock,3,F,NO-GO,-0.09422094442791629,7,-0.1898114640242342,-0.06119423904318171,1.6659079620502784,2.094689849862263,-0.126137822625968,-0.1450630499070583,-0.03942834140676205,-0.16180308084457995,-0.1349727850042893,-0.24700693837019458,141.2682,0.030233727659262924,0.010219161927683951,0.023592985286949537,0.4191858176437854
2024-12-19,SKY,Medium,GapFade_strongstock,3,F,NO-GO,-0.11805555555555555,5,-0.18233324748905483,-0.015538057742782194,1.8865335279968576,2.1015541062372813,0.12374927590433787,-0.02620505207886047,-0.07199922057677319,-0.08175069892991424,0.0316256904581393,-0.18233324748905483,95.25,0.03934503187101611,0.01684973872240587,0.024607779926928777,0.7736486486486476
2024-12-19,JANX,Medium,GapFade_strongstock,3,F,NO-GO,-0.09770867430441896,2,-0.23120903639659732,-0.010520587701795854,0.7969483654127126,0.4916668596414745,0.178871198217901,0.029633959804494688,-0.10445094217024041,0.18840267298986854,0.0043723811258881765,-0.23120903639659732,55.13,0.12370332460936487,0.040329972502291526,0.04704797047970474,0.6740503819618828
2024-12-20,NBIS,Medium,GapFade_strongstock,5,B,CAUTION,-0.18030303030303027,3,-0.300852933574567,-0.02070240295748622,0.5555151073898799,0.7283249327327134,,,-0.0780504430811179,0.23010459299681685,0.3080270793036751,-0.300852933574567,27.05,0.14507525745973063,0.008305020762551999,0.027295838894166667,0.25716563394571906
2024-12-20,KRE,Medium,GapFade_strongstock,3,F,NO-GO,-0.07538699690402474,3,-0.14975088967971534,-0.005524861878453011,1.5050245384435617,2.077151950946481,0.09833429412300135,-0.05389908256880733,-0.060258023914411665,-0.11811604901816045,-0.07581618443447313,-0.14975088967971534,59.73,0.02558537227045519,0.0237373737373738,0.0258097165991903,0.7018348623853217
2024-12-20,MSTR,Large,GapFade_strongstock,7,A+,GO,-0.23162379080659973,4,-0.3987845303867404,-0.021717821478894735,1.260321350450646,0.7992287539508173,0.7289178968422914,0.03933199535442857,-0.15516795196935984,-0.1574573515368933,0.20549462722942274,-0.3987845303867404,326.46,0.10698891135207989,0.14037010364154423,0.1488958990536277,0.9857978279030909
2024-12-20,FN,Medium,GapFade_weakstock,3,F,NO-GO,-0.09854708810554856,4,-0.19697160883280754,-0.02168447517284732,1.449374638916498,1.0070803859094175,-0.015416115322824293,-0.08763818140410494,-0.03891957197100441,-0.05047318611987383,-0.15114329268292673,-0.1998706803649687,222.74,0.04962307110147642,0.01537331926024503,0.024826308476146294,0.5090218423551742
2024-12-20,SMCX,Medium,GapFade_strongstock,3,F,NO-GO,-0.1490052781161185,2,-0.5878149769080027,-0.022185114503816786,0.5255104596820946,0.4026893103649827,,-0.5386318762230328,-0.148659626320065,-0.1717051966014621,0.09738219895287954,-0.8983017952450266,41.92,0.3333182251908397,0.03391070992925105,0.05950000000000007,0.30512820512820554
2024-12-20,SERV,Medium,GapFade_strongstock,6,A,GO,-0.18036809815950927,2,-0.240909090909091,-0.040419161676646644,1.154365794214263,1.1431766837593709,,0.32579140617247193,-0.19904076738609114,0.535632183908046,0.23361034164358258,-0.4454130344541304,13.36,0.16145423438836615,0.13962558502340086,0.1431924882629108,0.6879699248120301
2024-12-20,ARKK,ETF,GapFade_strongstock,3,F,NO-GO,-0.07121187929107457,2,-0.08307061790668342,-0.0189100911122572,1.295922049801515,2.179128659239326,0.22434546874309377,0.0806041128717653,-0.07637345188948866,0.003276992066229818,0.10400455494401223,-0.08307061790668342,58.17,0.034025884722119884,0.04082705449448043,0.044671122054168115,0.8037974683544292
2024-12-20,TQQQ,ETF,GapFade_strongstock,5,B,CAUTION,-0.12347016137766698,3,-0.13710747079621094,-0.02310638823674786,1.0789735477347617,1.4482157086378666,0.17602823455899871,0.022455358383679305,-0.12070838765754019,0.013017899611966532,-0.01962447001817069,-0.13710747079621094,40.465,0.04329526398474872,0.05021502656210471,0.057707006369426765,0.6154891304347828
2024-12-20,QLD,Medium,GapFade_strongstock,3,F,NO-GO,-0.08298442471947745,3,-0.09255883327809082,-0.014884485435120168,1.1026234352783746,2.1509279345968424,0.14101323141907207,0.02025985835055348,-0.0811377747944286,0.012013677109324567,-0.00851063829787232,-0.09255883327809082,54.755,0.028074931186975738,0.033092324805339336,0.03780612719992553,0.6132930513595165
2024-12-20,IREN,Medium,GapFade_strongstock,6,A,GO,-0.19042553191489367,3,-0.2829773869346734,-0.025843188786684183,1.0148373915664675,0.765207715582726,0.30597068287450835,0.03856756830526514,-0.16860888565185733,-0.15507031828275356,0.01828724353256006,-0.2829773869346734,11.415,0.13077967586508976,0.06205035971223034,0.0685848715164677,0.7097378277153569
2024-12-20,WAL,Medium,GapFade_strongstock,3,F,NO-GO,-0.08653952155219927,3,-0.15530862938987716,-0.007482500603427523,1.3800947867298576,1.6876601378198053,0.12407183695396332,-0.06955539435534759,-0.061926865164723184,-0.11483815831641919,-0.08289983397897062,-0.15530862938987716,82.86,0.03183079893796766,0.028939688715953427,0.031825387147908786,0.7631578947368416
2024-12-20,BITU,Medium,GapFade_strongstock,5,B,CAUTION,-0.1615939755255727,2,-0.21905596960397497,-0.026197604790419136,1.5919151336193236,1.4598017401739538,,0.21398812363414965,-0.19469559975889092,-0.0475851006950633,0.47746751451479114,-0.21905596960397497,53.44,0.10166688943541492,0.028823981552651808,0.03319181783095328,0.5119047619047616
2024-12-20,SPXL,ETF,GapFade_strongstock,4,C,NO-GO,-0.09062921955171482,3,-0.11542502889566039,-0.013304032784937988,1.3974244878775213,1.4280993550440344,0.12832568584469642,-0.04168393157178162,-0.09062921955171482,-0.08836428610103413,-0.06507857182519851,-0.11542502889566039,168.37,0.02626608914041355,0.04701137663275749,0.05163240628778713,0.666666666666666
2024-12-20,FETH,Medium,GapFade_strongstock,4,C,NO-GO,-0.15978098556495773,3,-0.17918794067590577,-0.013921800947867265,1.7595600434902583,1.497330125186067,,0.08102569357276419,-0.14249428498856997,-0.05908584169453747,0.1609353507565337,-0.17918794067590577,33.76,0.06363342078537572,0.03424451787323522,0.041361058601134204,0.7058064516129031
