date,ticker,is_capitulation,capitulation_score,large_down_move,volume_spike,close_at_lows,range_expansion,vix_spike,trade_grade,cap,setup,pct_change_3,gap_pct,reversal_open_close_pct,reversal_open_low_pct
2024-10-23,OKLO,True,60,True,False,True,False,True,B,Medium,RightSidePopFade,-0.104885701,-0.041286606,-0.083625438,-0.118177266
2024-04-17,ARM,True,90,True,True,True,True,False,B,Large,ConsolidationBreakdown,-0.003678875,-0.002863688,-0.117420202,-0.121933208
2024-10-24,PHUN,True,75,True,False,True,True,True,B,Small,GapDownTrendBreak,0.486325803,-0.115983027,-0.3216,-0.3296
2024-10-29,DJT,False,50,True,False,True,False,False,A,Medium,3DGapFade,0.134923986,0.134923986,-0.041674419,-0.190325581
2024-10-29,IONQ,False,50,True,False,True,False,False,B,Medium,GapDownTrendBreak,-0.017405952,-0.017405952,-0.043428571,-0.101142857
2024-10-29,MSTR,False,0,False,False,False,False,False,C,Medium,3DGapFade,0.03489465,0.03489465,-0.022743614,-0.04923368
2024-10-30,DJT,True,75,True,False,True,True,True,B,Medium,RightSidePopFade,0.003589527,-0.07726655,-0.157795077,-0.180307174
2024-10-30,OKLO,False,50,True,False,True,False,False,C,Medium,1DBreakoutIB,0.07755102,0.062801932,-0.132954545,-0.142424242
2024-11-11,DXYZ,True,65,True,False,True,True,False,A,Small,3DGapFade,1.148868778,1.148868778,-0.106548747,-0.223415456
2024-11-11,TSLA,False,0,False,False,False,False,False,B,Large,3DGapFade,0.166346704,0.166346704,0.010684378,-0.029742997
2024-11-12,IONQ,False,40,True,False,False,False,True,A,Medium,RightSidePopFade,-0.112545381,-0.06462585,0.045909091,0.0
2024-11-12,TSLA,True,75,True,False,True,True,True,A,Large,GapDownTrendBreak,0.066994583,-0.020742857,-0.041576705,-0.056690202
2024-11-21,MSTR,True,65,True,False,True,True,False,A,Medium,3DGapFade,0.392006029,0.130426524,-0.258293972,-0.305789258
2025-01-06,CRNC,True,65,True,False,True,True,False,B,Medium,2DGapFade,1.980075662,1.980075662,-0.146073121,-0.193043331
2025-01-08,IONQ,True,100,True,True,True,True,True,C,Medium,ConsolidationBreakdown,-0.241237517,-0.218592458,-0.219354839,-0.330993548
2025-06-23,CRCL,False,0,False,False,False,False,False,A,Medium,3DGapFade,-0.007574496,-0.007574496,0.10479745,-0.025077581
2025-06-24,CRCL,True,60,True,False,True,False,True,A,Medium,RightSidePopFade,0.042200766,-0.0494591,-0.110893699,-0.131143679
2025-07-21,OPEN,False,55,True,True,False,False,False,A,Small,3DGapFade,0.684807114,0.684807114,0.154703936,-0.05936141
2025-10-22,BYND,True,65,True,False,True,True,False,B,Small,3DGapFade,3.197278912,0.70441989,-0.419773096,-0.575364668
2025-10-17,GLD,False,15,False,False,False,True,False,A,ETF,3DGapFade,0.042937052,0.001740446,-0.02052173,-0.030014604
2025-11-13,SNDK,True,75,True,False,True,True,True,B,Medium,GapDownTrendBreak,0.000186602,-0.053338043,-0.091156716,-0.126380597
2026-01-26,SLV,False,25,False,True,False,False,False,B,ETF,2DGapFade,0.140479743,0.140479743,-0.010365301,-0.028781322
2026-01-29,GLD,False,45,True,False,False,True,False,A,ETF,3DGapFade,0.096427803,0.03022889,-0.026711939,-0.080469471
