ticker,date,cap,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,made_new_hod,mae_pct,fwd_to_low_pct,fwd_30min_pct
SMH,2023-05-30,ETF,12:00,149.86,0.52,-1.22,-0.1,True,0.7,1.57,0.81
SMH,2023-05-30,ETF,13:00,148.96,1.12,-1.81,-0.56,True,0.7,0.98,0.54
SMH,2023-05-30,ETF,14:00,147.77,1.91,-2.6,-1.21,True,0.7,0.18,-0.36
SMH,2023-05-30,ETF,15:00,148.68,1.3,-1.99,-0.48,True,0.7,0.53,0.03
SMH,2023-05-30,ETF,15:45,148.41,1.49,-2.18,-0.61,True,0.7,0.34,0.19
AVGO,2023-05-30,Large,09:30,84.3,-0.94,-0.13,0.87,False,1.06,5.24,-3.74
AVGO,2023-05-30,Large,09:45,89.48,-7.14,-0.03,4.36,True,7.17,10.72,2.88
AVGO,2023-05-30,Large,10:00,87.45,-4.72,-5.13,-0.22,True,10.38,8.66,1.09
AVGO,2023-05-30,Large,10:30,86.5,-3.58,-6.16,-1.17,True,10.38,7.65,0.35
AVGO,2023-05-30,Large,11:00,86.19,-3.21,-6.49,-1.28,True,10.38,7.32,-0.21
AVGO,2023-05-30,Large,11:30,86.38,-3.43,-6.29,-0.96,True,10.38,7.52,1.41
AVGO,2023-05-30,Large,12:00,85.15,-1.97,-7.62,-2.21,True,10.38,6.19,2.11
AVGO,2023-05-30,Large,13:00,83.33,0.22,-9.6,-3.82,True,10.38,4.14,0.97
AVGO,2023-05-30,Large,14:00,81.84,2.0,-11.22,-5.03,True,10.38,2.39,0.09
AVGO,2023-05-30,Large,15:00,80.67,3.4,-12.48,-5.86,True,10.38,0.98,-0.54
AVGO,2023-05-30,Large,15:45,80.71,3.35,-12.44,-5.4,True,10.38,1.03,0.63
SMCI,2024-02-16,Large,09:30,104.11,0.42,-0.42,0.25,False,0.0,23.05,12.01
SMCI,2024-02-16,Large,09:45,105.52,-0.93,-2.1,-0.03,True,3.1,24.08,14.88
SMCI,2024-02-16,Large,10:00,91.61,12.38,-15.01,-8.48,True,3.1,12.55,3.62
SMCI,2024-02-16,Large,10:30,88.29,15.55,-18.09,-7.39,True,3.1,9.26,-0.8
SMCI,2024-02-16,Large,11:00,89.0,14.87,-17.43,-5.61,True,3.1,9.98,-0.79
SMCI,2024-02-16,Large,11:30,89.7,14.2,-16.78,-4.45,True,3.1,10.69,1.34
SMCI,2024-02-16,Large,12:00,88.5,15.35,-17.89,-5.41,True,3.1,9.48,-0.96
SMCI,2024-02-16,Large,13:00,88.3,15.54,-18.08,-5.25,True,3.1,9.27,7.02
SMCI,2024-02-16,Large,14:00,83.26,20.36,-22.75,-8.66,True,3.1,3.78,0.36
SMCI,2024-02-16,Large,15:00,81.75,21.8,-24.15,-9.3,True,3.1,2.0,-0.65
SMCI,2024-02-16,Large,15:45,81.28,22.26,-24.6,-9.08,True,3.1,1.43,1.19
NVDA,2024-03-08,Large,09:30,94.84,0.32,-0.56,-0.13,False,0.25,8.78,-0.74
NVDA,2024-03-08,Large,09:45,95.36,-0.23,-0.56,-0.0,True,0.79,9.28,-1.36
NVDA,2024-03-08,Large,10:00,95.54,-0.43,-0.36,0.12,True,0.79,9.46,-1.9
NVDA,2024-03-08,Large,10:30,97.36,-2.33,-0.05,1.55,True,2.38,11.14,2.42
NVDA,2024-03-08,Large,11:00,95.0,0.14,-2.46,-0.95,True,2.38,8.94,5.4
NVDA,2024-03-08,Large,11:30,89.87,5.53,-7.73,-4.95,True,2.38,3.75,0.68
NVDA,2024-03-08,Large,12:00,89.26,6.18,-8.36,-4.51,True,2.38,3.08,-0.45
NVDA,2024-03-08,Large,13:00,87.53,7.99,-10.13,-5.46,True,2.38,1.17,-0.38
NVDA,2024-03-08,Large,14:00,87.62,7.9,-10.04,-4.62,True,2.38,0.24,-0.66
NVDA,2024-03-08,Large,15:00,88.83,6.63,-8.8,-2.89,True,2.38,1.59,0.69
NVDA,2024-03-08,Large,15:45,88.38,7.1,-9.26,-3.15,True,2.38,1.09,0.99
KWEB,2024-09-30,ETF,09:30,35.44,0.41,-0.58,-0.18,False,0.17,4.3,-1.16
KWEB,2024-09-30,ETF,09:45,35.48,0.27,-0.43,0.5,False,0.17,4.44,-0.35
KWEB,2024-09-30,ETF,10:00,35.84,-0.74,-0.38,1.0,True,1.12,5.4,1.07
KWEB,2024-09-30,ETF,10:30,35.46,0.34,-1.45,-0.23,True,1.12,4.37,1.34
KWEB,2024-09-30,ETF,11:00,34.98,1.67,-2.77,-1.5,True,1.12,3.07,0.64
KWEB,2024-09-30,ETF,11:30,34.76,2.3,-3.39,-1.94,True,1.12,2.45,1.93
