date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?,notes
1/25/2021,OPTT,Small,3DGapFade,2,F,NO-GO,0.48606842,2.781758958,3.427515447,4,0.091071429,0.555555556,1.081784387,1.382978723,1.088305489,5.6,0.097895408,,,
2/2/2021,INO,Medium,3DGapFade,5,A+,GO,0.404474551,3.290183646,4.926944947,2,0.118514151,0.548858447,0.866813429,0.582089552,0.599713259,203.52,0.087811237,N,2DGapFade,
6/15/2021,ENOB,Small,3DGapFade,3,B,CAUTION,0.41307716,7.540308748,19.63501154,3,0.057437408,0.546697039,0.782152231,0.805851064,0.824876371,6.79,0.122659373,,,
1/7/2021,MARA,Large,3DGapFade,5,A+,GO,0.365911861,1.336268423,1.926824227,3,0.189858491,0.540417802,1.398868458,2.447154472,1.846067359,16.96,0.146934805,N,,
2/17/2021,MYT,Small,3DGapFade,3,B,CAUTION,0.522506282,4.442335637,7.515079946,6,0.062753036,0.538701137,1.235294118,1.958083832,1.398281782,4.94,0.097515905,,,
1/25/2021,IPWR,Small,3DGapFade,0,F,NO-GO,0.326035023,1.407803079,1.419131568,2,0.107142857,0.536772777,0.713586291,0.842105263,0.688211868,14.0,0.11872602,,,
2/16/2021,SHIP,Medium,3DGapFade,5,A+,GO,0.435653331,3.281147464,5.377570434,2,0.179104478,0.534351145,0.661157025,2.738839286,1.524802098,20.1,0.113720682,N,,
2/9/2021,AREC,Small,3DGapFade,1,F,NO-GO,0.57539377,1.51793161,1.354203908,6,0.042447552,0.527777778,1.86,3.156976744,2.054772281,7.15,0.11978022,,,
6/3/2021,BB,Large,3DGapFade,5,A+,GO,0.41424968,4.271239942,9.555059752,5,0.241967213,0.514399206,0.918238994,0.760969977,0.683854868,15.25,0.066475878,N,2DBreakoutIB,
3/15/2021,EBON,Medium,3DGapFade,5,A+,GO,0.355199791,2.583370387,3.36118514,2,0.080769231,0.511627907,0.236623068,1.027290448,0.588246972,312.0,0.154464286,N,,
1/25/2021,SUNW,Medium,3DGapFade,5,A+,GO,0.541324554,2.613212993,1.759696415,4,0.113537118,0.496732026,3.47265625,4.337995338,2.56292689,22.9,0.115635059,N,,
1/4/2021,CAN,Small,3DGapFade,2,F,NO-GO,0.338258954,2.32552621,7.538842719,2,0.177065767,0.489949749,0.581333333,0.847352025,0.710905943,5.93,0.101520116,,,
3/23/2021,YVR,Small,3DGapFade,1,F,NO-GO,0.400297831,2.150702819,3.013274438,2,0.171296296,0.484536082,1.433802817,0.99078341,1.024841809,17.28,0.172208995,,,
1/26/2021,AMC,Medium,3DGapFade,5,A+,GO,0.420670008,2.511757534,4.743557287,3,0.15158371,0.483221477,1.199004975,0.080684597,0.438427493,44.2,0.092776341,N,,
1/25/2021,PPSI,Small,3DGapFade,1,F,NO-GO,0.388946037,3.194500607,4.785019625,2,0.122222222,0.482701812,1.325581395,1.362204724,1.07051531,9.0,0.109911111,,,
3/9/2021,GME,Large,3DGapFade,5,A+,GO,0.5179381,2.105607802,1.679900891,4,0.11933162,0.469588213,2.928499293,1.532881886,1.546504808,48.625,0.158152773,N,,
1/8/2021,CLSK,Medium,3DGapFade,3,B,CAUTION,0.330626915,0.976512224,1.346920827,3,0.049517207,0.464998186,1.443436177,2.891136802,1.655594567,40.39,0.106487285,Y,,
2/10/2021,SNDL,Large,3DGapFade,5,A+,GO,0.405895149,1.765076697,1.727640936,2,0.339393939,0.460176991,1.423619271,2.462749213,1.428256071,16.5,0.144212121,N,,
1/14/2021,EH,Medium,3DGapFade,5,A+,GO,0.353006467,1.79445877,2.423209421,3,0.045286993,0.457405986,0.430508475,1.788546256,1.173838387,37.98,0.087449598,N,,
