date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position,review_status
2022-05-06,VALE,Large,GapFade_weakstock,3,F,NO-GO,-0.0141625615763544,2,-0.2480037576326913,-0.0174890693316677,1.0789787340819266,1.0459412821715006,-0.0328738326225366,-0.1488388907791765,-0.0378605769230768,-0.1781314168377822,-0.2002997002997002,-0.3091693635382955,16.01,0.049784509681449,-0.0006357279084551,0.0244379276637341,0.5395683453237422,
2022-05-06,FRSH,Medium,GapFade_strongstock,6,A,GO,-0.1508231545406265,5,-0.2478833490122295,-0.0337711069418387,0.9370730678598612,0.976878809266736,,-0.1268593145927528,-0.0571933962264151,-0.1637029288702929,-0.1825153374233128,-0.7003143045099042,15.99,0.0974385776824801,0.0207119741100323,0.0626684636118598,0.5740740740740735,REJECT
2022-05-06,TOST,Medium,GapFade_strongstock,5,B,CAUTION,-0.1463414634146341,3,-0.3246571968141884,-0.0194528875379939,1.073346826836299,1.038554945651885,,-0.1558908045977011,-0.1112911939492167,-0.1476683937823835,-0.1775,-0.7647647647647647,16.45,0.0991133304385584,-0.0471171729696218,0.066620402498265,0.4848484848484842,REJECT
2022-05-06,RH,Medium,GapFade_weakstock,3,F,NO-GO,-0.1004276612457453,3,-0.208878086222336,-0.0232528055366902,1.4116541068368933,1.127234427764458,-0.4205428168841466,-0.1166498687016201,-0.1030371595161431,-0.0756882790781095,-0.1447655925874707,-0.5847077468572043,309.21,0.0609396295628952,-0.0288391497251836,0.0253081325171696,0.3632682552345966,
2022-05-09,MSTR,Medium,GapFade_weakstock,3,F,NO-GO,-0.1749200830015142,2,-0.437187621341117,-0.0781334964654703,0.7682790325804519,2.6658227577225,-0.4821857484403671,-0.3174286285613806,-0.1970308918240366,-0.3401063042454417,-0.3771643876211845,-0.6699050909825215,29.424,0.1214509049949506,-0.192442396313364,0.0230244722585467,0.0862944162436551,
2022-05-09,TOST,Medium,GapFade_strongstock,6,A,GO,-0.2023871302542813,4,-0.3689958124640775,-0.02537410540013,1.1724995558713802,1.374095184824037,,-0.2074786787530037,-0.1582694414019716,-0.1982263954094941,-0.2093621399176955,-0.7802087802087803,15.37,0.1098698763825634,-0.0807743658210948,0.026080476900149,0.1871657754010694,REJECT
2022-05-09,ONON,Medium,GapFade_strongstock,5,B,CAUTION,-0.1439969604863221,3,-0.1947819871336668,-0.045716822015091,1.2856722055689365,1.6929054788979716,,-0.0802279630294914,-0.1243684415079673,-0.0822810590631364,-0.1181996086105675,-0.5967424378020404,22.53,0.0731887641874326,-0.0353488372093023,0.0282597917699552,0.3851351351351337,REJECT
2022-05-09,TWLO,Medium,GapFade_weakstock,3,F,NO-GO,-0.1211327549517106,2,-0.393179056822356,-0.0221642764015644,1.00328674130512,1.7456805059593747,-0.5813641959954745,-0.2558280074237012,-0.0936866981769075,-0.1841045513258872,-0.3064203591267278,-0.7397983910051371,107.38,0.1021043423888459,-0.0404761904761904,0.0231542601807657,0.2098133765229876,
2022-05-09,COIN,Medium,GapFade_weakstock,4,C,NO-GO,-0.17008,2,-0.4983316407950094,-0.0746096009253903,0.9997965428609566,1.7567252360752343,-0.5539727766033054,-0.3579396634103591,-0.2029197080291971,-0.2853403141361256,-0.4443789834502705,-0.718785578747628,103.74,0.1181077005701066,-0.1301041666666666,0.0211543164587919,0.1180887372013654,
2022-05-09,ETSY,Medium,GapFade_weakstock,3,F,NO-GO,-0.0835985571822619,2,-0.4040292534842004,-0.0150497800416762,1.0284517921920826,1.739673289967664,-0.53869171196483,-0.3099768181607583,-0.2099149364309887,-0.2180682538245678,-0.3471886336154776,-0.7193176279447604,86.38,0.1099184665762578,0.0155148095909732,0.0484164543137969,0.6086956521739137,
2022-05-09,TTD,Medium,GapFade_weakstock,5,B,CAUTION,-0.2014365001632386,2,-0.3561463543037642,-0.0392477514309076,1.0608862821186054,2.157855308279355,-0.3688430100201977,-0.2624465907000727,-0.2171547447591614,-0.2113493470901176,-0.2525592055003819,-0.5712157068980629,48.92,0.1148374897792313,-0.0427659574468084,0.0516596540439457,0.4420000000000001,REJECT
2022-05-09,BILL,Medium,GapFade_weakstock,5,B,CAUTION,-0.2891969688069082,2,-0.5059006084364408,-0.0187603305785123,1.3166246189195985,4.156998140740713,-0.492657474822079,-0.4022648727367574,-0.3103448275862068,-0.3705129539069816,-0.4489228947488272,-0.652792722994591,121.0,0.1625744982290437,-0.0911311378758528,0.0208116545265348,0.1689708141321045,REJECT
2022-05-09,VERU,Medium,GapFade_strongstock,3,F,NO-GO,-0.0893433799784716,2,-0.5165714285714286,-0.0070921985815602,0.4522937755761361,0.0825560523447948,0.1488750598372427,0.1123675283351302,-0.1019108280254778,-0.2890756302521008,0.6653543307086613,-0.5165714285714286,84.6,0.2038466734211414,-0.0297619047619047,0.029040404040404,0.469387755102041,
2022-05-09,MARA,Medium,GapFade_weakstock,3,F,NO-GO,-0.134587554269175,2,-0.5433720219914479,-0.0675585284280936,0.7683801867680419,0.840144617771611,-0.5645943883643311,-0.3568813693479766,-0.1582207207207208,-0.284688995215311,-0.4825199030806508,-0.8208508088675853,14.95,0.1183917821309125,-0.1334289813486369,0.0262596742814908,0.1368243990969858,
2022-05-09,SPR,Medium,GapFade_weakstock,3,F,NO-GO,-0.1715836676894028,3,-0.3031566408576533,-0.0253561253561253,1.0185237002630252,3.120555480472828,-0.1980396524838493,-0.2161224188988194,-0.1070974306792165,-0.2327868852459016,-0.27434360140583,-0.3415931195543091,35.1,0.0690905575905575,-0.0818474130371236,0.0512048192771084,0.3180873180873184,
2022-05-09,NARI,Medium,GapFade_weakstock,3,F,NO-GO,-0.2359262425204542,2,-0.3440612223503512,-0.0191785200575356,1.4332550247977027,1.2328768337203384,-0.2506182967944381,-0.2766507438115894,-0.2495802350683616,-0.2802254687679743,-0.2809698919788554,-0.3743,62.57,0.1093346880065755,-0.098908261365488,0.0561497326203208,0.3122676579925648,
2022-05-09,FRPT,Medium,GapFade_weakstock,4,C,NO-GO,-0.3748188230746931,7,-0.45524964216553,-0.0316846986089645,0.7792904834199265,1.7698741595451426,-0.4387938317630547,-0.3490565847906617,-0.1974696105184817,-0.4166967183555716,-0.324705145600668,-0.6237059439339304,64.7,0.1164218370501213,-0.0817238627294492,0.0200354609929078,0.166666666666667,
2022-05-09,GTLB,Medium,GapFade_strongstock,6,A,GO,-0.1822042076819147,2,-0.3007096880673379,-0.0382345999527967,1.128823134449307,1.757310061851583,,-0.1513643865468122,-0.2165310650887574,-0.160990099009901,-0.1618199802176063,-0.6907299270072992,42.37,0.1456252739471998,-0.0939877300613496,0.0224314594295209,0.1398963730569952,REJECT
2022-05-09,BE,Medium,GapFade_weakstock,5,B,CAUTION,-0.2419839679358717,2,-0.4408535391051439,-0.0356906807666887,1.2479108635097491,3.441879455588836,-0.3083223044341888,-0.3168128166457452,-0.254679802955665,-0.3156942559927634,-0.3742762613730355,-0.5911915698459875,15.13,0.1101642904352752,-0.0685400959561343,0.0252734817050169,0.2367491166077733,REJECT
2022-05-09,XP,Medium,GapFade_weakstock,4,C,NO-GO,-0.2030075187969924,6,-0.4011299435028249,-0.0243296921549156,0.80263157894737,1.2125115705237417,-0.4191663566387786,-0.3045243899912287,-0.0774163994502976,-0.267103347889374,-0.3729763387297633,-0.6205727204220045,20.14,0.0754716981132075,-0.0366412213740457,0.0249052517596102,0.2721893491124263,
2022-05-09,RH,Medium,GapFade_weakstock,4,C,NO-GO,-0.1466848980304309,4,-0.2495586542151721,-0.0232177559578602,1.0264459599352236,0.994337779960612,-0.4483662144194938,-0.1577839302727446,-0.1365616720635855,-0.104560996458664,-0.1666382543470848,-0.606062641022886,293.31,0.0661975871457307,0.0139616055846422,0.0282457879088206,0.3715083798882687,
2022-05-10,NVAX,Medium,GapFade_weakstock,3,F,NO-GO,-0.1408291659945153,3,-0.3528554070473876,-0.2095381149079984,1.3300793166564977,1.180697130563263,-0.6318230427896837,-0.200955372922499,-0.0920559154449369,-0.0243634365268365,-0.2788083953960731,-0.8082792686390456,53.26,0.1077074727750656,0.279334916864608,0.2903658592097288,0.8845544713429719,
2022-05-10,UPST,Medium,GapFade_weakstock,3,F,NO-GO,-0.1478647454863237,3,-0.3849282296650718,-0.5594450927006354,1.1460742104955728,2.009207277974279,-0.5727258613724486,-0.2464704865164818,-0.1337601078167117,-0.1185142857142857,-0.2868897928994083,-0.8078905596379884,77.13,0.107809449723102,-0.0108887580929958,0.1581667815299793,0.4857142857142857,
2022-05-10,EQT,Medium,GapFade_strongstock,3,F,NO-GO,-0.1496044671940437,3,-0.1967032967032967,-0.00328317373461,1.3559151925730777,1.2024929689932584,0.5222380022240084,0.0640217986189547,-0.128101145038168,-0.168751421423698,0.0472779369627506,-0.1967032967032967,36.55,0.0778874340433847,0.0046664836673072,0.0571923743500867,0.8215767634854776,
2022-05-10,AFRM,Medium,GapFade_weakstock,6,A,GO,-0.3238095238095238,3,-0.6001165274810643,-0.0859640602234094,1.2147033304551893,1.8007269496936795,-0.7537007685636532,-0.4377727170950953,-0.2379718726868986,-0.4439643532271132,-0.5239306358381502,-0.8834418341352958,20.59,0.1651290501630472,-0.0334750265674813,0.0987617034128663,0.3997652754346076,REJECT
