date,ticker,bucket,cap,recommendation,score,prediction_correct,outcome_pct,max_favorable_pct,atr_move,open,high,low,close,volume,mfe_atr,rvol,tradeable,tradeable_detail,gap_pct,pct_change_3,pct_from_9ema,prior_day_range_atr,prior_day_rvol,atr_pct,tradeable_b,dir_ok,score_num,pct_change_3_f,gap_pct_f
2026-04-21,CAR,reversal,Medium,GO,5/5,False,0.144183,0.087708,1.62,624,765.94,569.27,713.97,12294557.203767,0.99,3.3,False,direction wrong; MFE only 1.0 ATR (<1.0); RVOL 3.3x (elevated),0.116984,0.538267,0.62743,2.262597,1.613536,0.088768,False,False,5,0.538267,0.116984
2026-04-21,EWY,reversal,ETF,CAUTION,3/5,True,-0.035545,0.038108,0.91,152.2,152.65,146.4,146.79,12931976.132133,0.97,0.6,False,direction OK; MFE only 1.0 ATR (<1.0); RVOL 0.6x (normal),0.017123,0.035675,0.060165,0.372799,0.54533,0.039184,False,True,3,0.035675,0.017123
2026-04-21,MP,reversal,Medium,CAUTION,3/5,False,0.003969,0.004427,0.08,65.5,68.6499,65.21,65.76,6731356.091239,0.09,1.2,False,direction wrong; MFE only 0.1 ATR (<1.0); RVOL 1.2x (elevated),-0.000906,0.112735,0.116757,1.319356,1.621727,0.050457,False,False,3,0.112735,-0.000906
2026-04-21,RKLB,reversal,Medium,CAUTION,3/5,True,-0.04085,0.050703,0.69,90.33,91.95,85.75,86.64,27444419.257857,0.85,1.1,False,direction OK; MFE only 0.9 ATR (<1.0); RVOL 1.1x (normal),0.012855,0.215489,0.165758,1.066616,1.133817,0.059495,False,True,3,0.215489,0.012855
2026-04-23,CAR,bounce,Medium,GO,5/6,False,-0.430007,0.004167,1.88,402.005,403.68,207.64,229.14,17263725.390538,0.02,3.5,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 3.5x (elevated),,-0.270795,,4.123496,,0.229276,False,False,5,-0.270795,
2026-05-13,AAOI,reversal,Medium,GO,5/5,False,0.088293,0.064688,0.83,205,233.67,191.7389,223.1,18450375.628249,0.61,1.7,False,direction wrong; MFE only 0.6 ATR (<1.0); RVOL 1.7x (elevated),0.20836,0.195049,0.330658,1.340669,1.478877,0.113109,False,False,5,0.195049,0.20836
2026-05-13,MU,reversal,Large,GO,5/5,True,-0.011714,0.041425,0.19,813.155,814.95,779.47,803.63,54874650.025775,0.68,1.2,False,direction OK; MFE only 0.7 ATR (<1.0); RVOL 1.2x (elevated),0.046897,0.1855,0.189121,1.491699,1.623728,0.063618,False,True,5,0.1855,0.046897
2026-05-13,NVTS,reversal,Medium,GO,5/5,False,0.017299,0.055738,0.14,20.81,21.68,19.6501,21.17,39381219.138675,0.46,0.9,False,direction wrong; MFE only 0.5 ATR (<1.0); RVOL 0.9x (normal),0.107532,0.219126,0.175606,1.267537,1.114695,0.123224,False,False,5,0.219126,0.107532
2026-05-13,RKLB,reversal,Medium,GO,5/5,False,0.002058,0.05654,0.03,123.895,127.24,116.89,124.15,26587749.687234,0.81,1.0,False,direction wrong; MFE only 0.8 ATR (<1.0); RVOL 1.0x (normal),0.071708,0.496055,0.298876,1.015421,1.258417,0.070975,False,False,5,0.496055,0.071708
2026-05-13,SOXL,reversal,ETF,GO,5/5,False,0.002203,0.062964,0.02,183.835,188.488,172.26,184.24,59516152.591991,0.69,0.9,False,direction wrong; MFE only 0.7 ATR (<1.0); RVOL 0.9x (normal),0.074127,0.134254,0.178463,1.828163,1.409638,0.093454,False,False,5,0.134254,0.074127
2026-05-13,WOLF,reversal,Medium,GO,5/5,True,-0.060483,0.120516,0.69,66.63,73.74,58.6,62.6,34277068.80718,1.38,4.9,True,direction OK; MFE 1.4 ATR; RVOL 4.9x (elevated),0.208116,0.189548,0.498645,1.289381,1.755488,0.104923,True,True,5,0.189548,0.208116
2026-05-14,WOLF,reversal,Medium,GO,5/5,False,0.104254,0.050588,1.03,63.355,72.3499,60.15,69.96,18055759.66068,0.5,2.1,False,direction wrong; MFE only 0.5 ATR (<1.0); RVOL 2.1x (elevated),0.088299,0.343348,0.444462,2.223374,4.899803,0.099952,False,False,5,0.343348,0.088299
2026-05-14,AAOI,reversal,Medium,GO,4/5,True,-0.059201,0.079952,0.5,216.38,218.94,199.08,203.57,12104023.944607,0.68,1.1,False,direction OK; MFE only 0.7 ATR (<1.0); RVOL 1.1x (normal),-0.004931,0.497919,0.223812,1.629441,1.66466,0.115916,False,True,4,0.497919,-0.004931
2026-05-14,GLW,reversal,Large,GO,4/5,False,0.024143,0.01485,0.34,203.37,210.5,200.35,208.28,10948517.468541,0.21,0.8,False,direction wrong; MFE only 0.2 ATR (<1.0); RVOL 0.8x (normal),0.007845,0.104686,0.107552,1.097796,1.116217,0.06874,False,False,4,0.104686,0.007845
