ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
BBBY,2021-01-28,12:00,31.31,16.57,-30.4,-13.31,-1.58,True,True,19.86,-40.62,9.84,1.9,2.45,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,13:00,29.46,21.49,-34.5,-17.05,-0.36,True,True,19.86,-44.12,4.2,1.08,-3.66,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,14:00,29.83,20.5,-33.68,-14.83,-0.3,True,True,19.86,-43.42,3.52,3.04,-2.38,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,15:00,30.73,18.12,-31.69,-11.2,-0.3,True,True,19.86,-41.72,2.37,0.7,0.6,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,15:45,30.76,18.04,-31.62,-10.44,-0.26,True,True,19.86,-41.66,2.47,0.7,0.7,GapDownTrendBreak,B,Medium
AMC,2021-01-28,09:30,128.8,-7.51,-1.0,3.34,,False,False,8.6,-44.0,49.46,-5.74,32.64,GapDownTrendBreak,A,Medium
AMC,2021-01-28,09:45,145.0,-21.04,-12.12,5.36,10.42,False,True,37.73,-36.96,55.1,7.89,40.17,GapDownTrendBreak,A,Medium
AMC,2021-01-28,10:00,136.19,-13.68,-17.46,-3.17,2.2,False,True,37.73,-40.79,52.2,29.66,36.3,GapDownTrendBreak,A,Medium
AMC,2021-01-28,10:30,95.79,20.04,-41.94,-27.02,-4.89,True,True,37.73,-58.35,32.04,2.71,9.43,GapDownTrendBreak,A,Medium
AMC,2021-01-28,11:00,93.2,22.2,-43.52,-15.87,-5.69,True,True,37.73,-59.48,30.15,14.76,6.91,GapDownTrendBreak,A,Medium
AMC,2021-01-28,11:30,79.44,33.69,-51.85,-25.09,-3.34,True,True,37.73,-65.46,4.34,-12.91,-9.2,GapDownTrendBreak,A,Medium
AMC,2021-01-28,12:00,89.7,25.12,-45.64,-12.68,-1.37,True,True,37.73,-61.0,6.91,-17.5,3.28,GapDownTrendBreak,A,Medium
AMC,2021-01-28,13:00,102.69,14.28,-37.76,0.61,0.03,True,True,37.73,-55.35,18.69,3.41,15.51,GapDownTrendBreak,A,Medium
AMC,2021-01-28,14:00,97.5,18.61,-40.91,-4.12,-0.08,True,True,37.73,-57.61,14.36,8.51,11.02,GapDownTrendBreak,A,Medium
AMC,2021-01-28,15:00,99.0,17.36,-40.0,-2.0,0.09,True,True,37.73,-56.96,13.03,2.92,12.37,GapDownTrendBreak,A,Medium
AMC,2021-01-28,15:45,90.8,24.21,-44.97,-10.0,-0.02,True,True,37.73,-60.52,5.18,4.45,4.45,GapDownTrendBreak,A,Medium
CCIV,2021-02-19,09:30,60.3,-0.35,-0.17,0.38,,False,False,0.52,-3.45,16.55,-0.28,12.25,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,09:45,60.06,0.05,-3.08,-0.36,0.34,True,True,3.13,-3.83,16.22,1.05,11.9,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,10:00,60.47,-0.63,-2.42,0.56,-0.24,False,True,3.13,-3.17,16.78,-0.38,12.5,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,10:30,60.7,-1.02,-2.05,1.23,-0.02,False,True,3.13,-2.8,17.1,1.45,12.83,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,11:00,59.82,0.45,-3.47,-0.24,-0.01,True,True,3.13,-4.21,15.88,-0.4,11.55,GapDownTrendBreak,C,Medium
CCIV,2021-02-19,11:30,60.06,0.05,-3.08,0.15,0.01,True,True,3.13,-3.83,16.22,0.35,11.9,GapDownTrendBreak,C,Medium
