signal_date,session,target_date,ticker,bucket,cap,recommendation,score,atr_pct,entry_open,d0_pct,d1_pct,d2_pct,d3_pct,mfe_atr_d0,mfe_atr_3d,mae_atr_3d,adverse_before_fav_atr,days_to_1atr,dir_correct_d0,dir_correct_final,tradeable_d0,tradeable_3d,days_available,complete,episode_id,episode_signal_num,pct_from_9ema,pct_change_3,gap_pct,prior_day_range_atr,prior_day_rvol,premarket_rvol,selloff_total_pct,pct_off_30d_high,pct_off_52wk_high
2026-05-14,morning,2026-05-14,AAOI,reversal,Medium,GO,4/5,0.117504,216.38,-0.059201,-0.120251,-0.199279,-0.208199,0.68,2.21,0.1,0.1,1,True,True,False,True,4,True,AAOI_reversal_2026-05-14,1,0.207274,0.497919,-0.018377,1.629441,1.66466,0.0,,,
2026-05-14,morning,2026-05-14,GLW,reversal,Large,GO,4/5,0.070211,203.37,0.024143,-0.056842,-0.122044,-0.135418,0.21,2.35,0.5,0.5,2,False,True,False,True,4,True,GLW_reversal_2026-05-11,3,0.084351,0.104686,-0.013268,1.097796,1.116217,0.0,,,
2026-05-13,evening,2026-05-14,MU,reversal,Large,GO,5/5,0.061341,787.62,-0.014741,-0.079937,-0.134684,-0.112846,0.25,2.8,0.5,0.5,1,True,True,False,True,4,True,MU_reversal_2026-05-05,5,0.187447,0.1855,0.045423,1.549245,1.662545,0.10124,,,
2026-05-13,evening,2026-05-14,NVTS,reversal,Medium,GO,5/5,0.12137,21.14,0.055818,0.008515,-0.069536,-0.080889,0.29,1.42,0.88,0.88,3,False,True,False,True,4,True,NVTS_reversal_2026-05-12,2,0.173125,0.219126,0.105195,1.289627,1.15585,0.077325,,,
2026-05-13,evening,2026-05-14,RKLB,reversal,Medium,GO,5/5,0.07012,123.1,0.076767,0.013566,0.065475,0.0342,0.21,0.91,1.77,,,False,False,False,False,4,True,RKLB_reversal_2026-05-11,3,0.297742,0.496055,0.070772,1.028694,1.285748,0.080094,,,
2026-05-13,evening,2026-05-14,SOXL,reversal,ETF,GO,5/5,0.091833,182.67,0.01927,-0.101221,-0.169267,-0.168501,0.26,2.84,0.41,0.41,1,False,True,False,True,4,True,SOXL_reversal_2026-05-04,4,0.174053,0.134254,0.070108,1.867431,1.442881,0.105599,,,
2026-05-14,morning,2026-05-14,WOLF,reversal,Medium,GO,5/5,0.101634,63.355,0.104254,-0.019335,-0.063215,-0.071423,0.5,1.28,1.4,1.4,2,False,True,False,True,4,True,WOLF_reversal_2026-05-14,1,0.420556,0.343348,0.070288,2.223374,4.899803,0.0,,,
2026-05-14,evening,2026-05-15,GLW,reversal,Large,GO,4/5,0.06874,198.11,-0.031801,-0.098733,-0.112463,-0.087931,0.46,2.08,0.2,0.2,1,True,True,False,True,4,True,GLW_reversal_2026-05-11,4,0.107552,0.104686,0.007845,1.097796,1.116217,0.044154,,,
2026-05-14,evening,2026-05-15,NBIS,reversal,Medium,GO,5/5,0.076149,217.61,0.010707,-0.081568,-0.091356,-0.118515,0.35,2.09,0.67,0.67,1,False,True,False,True,4,True,NBIS_reversal_2026-05-15,1,0.254295,0.170686,0.09671,1.290605,2.577577,0.062175,,,
2026-05-15,morning,2026-05-15,POET,reversal,Medium,GO,4/5,0.121732,18.322,-0.12837,-0.22443,-0.28665,-0.19332,1.07,2.92,0.87,0.87,0,True,True,True,True,4,True,POET_reversal_2026-05-15,1,0.495173,0.479856,-0.02771,1.406371,2.117478,0.0,,,
