cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form
1842566,"Airship AI Holdings, Inc.","AISP, AISPW",2023-12-21,2023-12-28,0001654954-23-016064,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,8.01,9.01",7372,8-K
1855467,Chavant Capital Acquisition Corp.,"MOBX, MOBXW",2023-12-21,2023-12-28,0001104659-23-130104,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",3674,8-K
1817232,Global Gas Corp,"HGAS, HGASW",2023-12-21,2023-12-28,0001213900-23-099273,"1.01,2.01,3.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",2810,8-K
1825473,Prospector Capital Corp.,,2023-12-21,2023-12-28,0001213900-23-099248,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",6770,8-K
1365916,"AMYRIS, INC.",,2023-12-28,2023-12-29,0001365916-23-000151,"1.01,2.01,2.05,7.01,9.01",2860,8-K
1592782,Nukkleus Inc.,,2023-12-22,2023-12-29,0001213900-23-099910,"1.01,2.01,3.03,5.01,5.02,5.03,5.06,7.01,9.01",8742,8-K
1980088,MACH NATURAL RESOURCES LP,MNR,2023-12-28,2023-12-29,0001213900-23-099439,"1.01,1.02,2.01,2.03,7.01,8.01,9.01",1311,8-K
1830029,GRIID Infrastructure Inc.,"GRDI, GRDIW",2023-12-26,2024-01-02,0001193125-24-000728,"1.01,2.01,3.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",7374,8-K
1787518,Nukkleus Inc.,"NUKK, NUKKW",2023-12-22,2024-01-02,0001213900-24-000318,"1.01,2.01,3.03,5.01,5.02,5.03,5.06,7.01,9.01",8742,8-K
1843973,FLYEXCLUSIVE INC.,"FLYX, FLYX-WT",2023-12-27,2024-01-03,0001193125-24-001570,"1.01,2.01,2.02,3.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",4522,8-K
1854275,"Zoomcar Holdings, Inc.","ZCAR, ZCARW",2023-12-28,2024-01-04,0001213900-24-001242,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,8.01,9.01",7510,8-K
700764,"VICTORY OILFIELD TECH, INC.",VYEY,2024-01-01,2024-01-05,0001079973-24-000028,"1.01,2.01,5.01,5.02,9.01",1311,8-K
1162194,STANDARD BIOTOOLS INC.,LAB,2024-01-04,2024-01-05,0001104659-24-001640,"2.01,5.02,5.03,5.07,8.01,9.01",3826,8-K
1852633,"Pinstripes Holdings, Inc.","PNST, PNST-WT",2023-12-29,2024-01-05,0001104659-24-001803,"1.01,2.01,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",5810,8-K
1897245,HWH International Inc.,HWH,2024-01-08,2024-01-12,0001493152-24-002250,"1.01,1.02,2.01,3.01,3.02,3.03,5.01,5.02,5.03,5.05,7.01,9.01",5122,8-K
1930021,New Horizon Aircraft Ltd.,"HOVR, HOVRW",2024-01-12,2024-01-19,0001213900-24-004932,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3721,8-K
1490927,Franklin BSP Lending Corp,,2024-01-24,2024-01-24,0001213900-24-006163,"1.02,2.01,3.03,5.01,5.02,7.01,9.01",,8-K
1825248,Franklin BSP Capital Corp,FRBP,2024-01-24,2024-01-24,0001213900-24-006162,"1.01,2.01,7.01,9.01",,8-K
1849475,Newcourt Acquisition Corp,,2024-01-25,2024-01-31,0001104659-24-008879,"1.01,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6770,8-K
1857086,"TruGolf Holdings, Inc.",TRUG,2024-02-06,2024-02-06,0001493152-24-005145,"1.01,2.01,3.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,9.01",3949,8-K
