cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
1842937,Red Rock Acquisition Corp.,"HCVI, HCVIU, HCVIW",2025-06-05,2025-06-05,0001213900-25-051570,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",6770.0,8-K,,,6770.0,Blank Checks,Red Rock Acquisition Corp.,Hennessy Capital Investment Corp. VI,2024-06-18,425,4,2025-05-07,2025-05-06,True,True,True,,OTC,HCVI,3450000.0,,,,super8k,True,True,
2025065,Black Spade Acquisition II Co,"BSII, BSIIU, BSIIW",2025-06-03,2025-06-05,0001104659-25-056485,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,7.01,9.01",6770.0,8-K,,,6770.0,Blank Checks,Black Spade Acquisition II Co,,2025-01-27,425,1,2025-05-30,2025-05-30,True,True,False,The Generation Essentials Group,BSII,BSII,13120874.0,,,10.3,vote8k,True,True,
2019793,"XCF Global, Inc.",SAFX,2025-06-12,2025-06-12,0001140361-25-022325,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2860.0,8-K,SAFX,Nasdaq,2860.0,Industrial Organic Chemicals,"XCF Global, Inc.","Focus Impact BH3 NewCo, Inc.",2025-02-21,425,0,,,True,False,True,XCF in,,SAFX,0.0,,,,llm,False,True,
1253689,GLYCOMIMETICS INC,GLYC,2025-06-13,2025-06-18,0001104659-25-060714,"1.01,2.01,2.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2834.0,8-K,CBIO,Nasdaq,2834.0,Pharmaceutical Preparations,"CRESCENT BIOPHARMA, INC.",GLYCOMIMETICS INC,2025-02-14,425,11,2025-06-06,2025-06-05,True,False,True,Second Merger Sub being the surviving entity of the merger,GLYC,CBIO,,,,,,False,False,
2033770,"CID Holdco, Inc.",DAIC,2025-06-18,2025-06-26,0001213900-25-057972,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,8.01,9.01",7373.0,8-K,"DAIC,DAICW","Nasdaq,Nasdaq",7373.0,Services-Computer Integrated Systems Design,"CID Holdco, Inc.",,2024-11-14,425,0,,,True,False,False,,,DAIC,2000.0,,,11.0,llm,True,True,
1760903,"Safety Shot, Inc.","SHOT, SHOTW",2025-06-27,2025-06-27,0001641172-25-016825,"2.01,2.03,2.04,3.02,5.02,7.01,9.01",2844.0,8-K,BNKK,Nasdaq,2844.0,"Perfumes, Cosmetics & Other Toilet Preparations","BONK, INC.","Safety Shot, Inc.; Jupiter Wellness, Inc.; CBD Brands, Inc.",2025-04-10,PREM14A,6,2025-06-16,2025-06-12,False,False,True,,SHOT,SHOT,,,,,,False,False,
1593548,"PlayAGS, Inc.",AGS,2025-06-30,2025-06-30,0001193125-25-152781,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",3990.0,8-K,,,3990.0,Miscellaneous Manufacturing Industries,"PlayAGS, Inc.","AP Gaming Holdco, Inc.",2024-06-11,PREM14A,9,2024-08-07,2024-08-06,False,False,False,,AGS,AGS,,,,,,False,False,
776901,INDEPENDENT BANK CORP,INDB,2025-07-01,2025-07-01,0000776901-25-000237,"2.01,2.03,5.02,7.01,9.01",6022.0,8-K,INDB,Nasdaq,6022.0,State Commercial Banks,INDEPENDENT BANK CORP,INDEPENDENT BANK CORP /MA/,2024-12-09,425,19,2025-05-15,2025-05-15,True,False,False,"Enterprise Bancorp, Inc",INDB,INDB,0.0,,,,llm,False,True,
1919246,Pelthos Therapeutics Inc.,CHRO,2025-07-01,2025-07-02,0001753926-25-001055,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.03,8.01,9.01",2836.0,8-K,PTHS,NYSE,2836.0,"Biological Products, (No Diagnostic Substances)",Pelthos Therapeutics Inc.,Channel Therapeutics Corp; Chromocell Therapeutics Corp,,,2,2025-04-17,2025-04-17,False,False,True,"Merger, dated as of April 16, 2025",CHRO,PTHS,,,,,,False,False,
1996862,Bunge Global SA,BG,2025-07-02,2025-07-02,0001104659-25-065405,"1.01,2.01,5.02,7.01,9.01",2070.0,8-K,BG,NYSE,2070.0,Fats & Oils,Bunge Global SA,,,,2,2025-05-19,2025-05-15,False,False,False,,BG,BG,,,,,,False,False,
