cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
877890,,,7372,Services-Prepackaged Software,CITRIX SYSTEMS INC,,2022-03-03,PREM14A,13,2022-04-22,2022-04-21,False,False,False,,CTXS,CTXS,,,40.0,,super8k,False,False,40.0
1473844,STEL,NYSE,6021,National Commercial Banks,"Stellar Bancorp, Inc.","Stellar Bancorp. Inc.; CBTX, Inc.; CBFH, Inc.",2021-11-08,425,6,2022-06-30,2022-06-29,True,False,True,"Allegiance Bancshares, Inc",CBTX,CBTX,,,,,,False,False,
1854963,"SHFS,SHFSW","Nasdaq,Nasdaq",6199,Finance Services,"SHF Holdings, Inc.",Northern Lights Acquisition Corp.,2022-02-14,425,3,2022-06-29,2022-06-28,True,False,True,,NLIT,SHFS,7573402.0,,,10.33,super8k,True,True,
1629137,,,2834,Pharmaceutical Preparations,"Global Blood Therapeutics, Inc.",,2022-08-19,PREM14A,8,2022-09-30,2022-09-30,False,False,False,Ribeye Acquisition Corp,GBT,GBT,,,,,,False,False,
1690334,SMHI,NYSE,4412,Deep Sea Foreign Transportation of  Freight,SEACOR Marine Holdings Inc.,,,,5,2022-06-10,2022-06-07,False,False,False,,SMHI,SMHI,,,1.0,,super8k,False,False,1.0
1667161,,,6022,State Commercial Banks,"Randolph Bancorp, Inc.",,2022-05-02,PREM14A,6,2022-06-30,2022-06-29,False,False,False,"Hometown Financial Group, Inc",RNDB,RNDB,,,,,,False,False,
1847986,"DFLI,DFLIW","Nasdaq,Nasdaq",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",Dragonfly Energy Holdings Corp.,Chardan NexTech Acquisition 2 Corp.,2022-05-16,425,2,2022-10-07,2022-10-06,True,False,True,,CNTQ,DFLI,2071910.0,,,10.24,super8k,True,True,
894627,EGY,NYSE,1311,Crude Petroleum & Natural Gas,VAALCO ENERGY INC /DE/,,2022-08-19,PREM14A,14,2022-09-30,2022-09-29,False,False,False,TransGlobe Energy Corporation,EGY,EGY,,,,,,False,False,
1679826,,,7372,Services-Prepackaged Software,Ping Identity Holding Corp.,"Roaring Fork Holding, Inc.",2022-09-06,PREM14A,4,2022-10-17,2022-10-17,False,False,False,,PING,PING,,,,,,False,False,
1825452,"ONFO,ONFOW","Nasdaq,Nasdaq",7374,Services-Computer Processing & Data Preparation,"Onfolio Holdings, Inc","Onfolio Holdings Inc; Onfolio Holdings, Inc.",,,0,,,False,False,False,,ONFO,ONFO,,,,,,False,False,
1348036,,,7372,Services-Prepackaged Software,"AVALARA, INC.",AVALARA INC,2022-08-23,PREM14A,6,2022-10-14,2022-10-14,False,False,False,,AVLR,AVLR,,,,,,False,False,
1838544,,,6770,Blank Checks,BOA Acquisition Corp.,,2021-12-02,425,1,2022-10-27,2022-10-27,True,True,False,Selina Hospitality PLC,BOAS,BOAS,,,,,,False,True,
1864891,,,6770,Blank Checks,Endurance Acquisition Corp.,,2022-03-08,425,1,2022-10-26,2022-10-25,True,True,False,SatixFy Communications Ltd,EDNC,EDNC,,,,,,True,True,
1830531,,,7372,Services-Prepackaged Software,Provident Acquisition Corp.,,2022-03-03,425,1,2022-10-25,2022-10-25,True,False,False,,PAQC,PAQC,21651203.0,,,10.07,super8k,True,True,
1928446,GRNT,NYSE,1311,Crude Petroleum & Natural Gas,"Granite Ridge Resources, Inc.",,2022-06-03,425,0,,,True,False,False,"May 16, 2022",,WS,39343496.0,,,10.07,super8k,True,True,
1870144,"CDIO,CDIOW","Nasdaq,Nasdaq",2835,In Vitro & In Vivo Diagnostic Substances,"Cardio Diagnostics Holdings, Inc.",Mana Capital Acquisition Corp.,2022-05-31,425,1,2022-10-31,2022-10-25,True,False,True,,MAAQ,CDIO,6465452.0,,,10.1,super8k,True,True,
