ticker,date,status,exp,dte,spot935,fixed_strike,n_strikes,strikes,n_bars,valid_frac,extrap_frac,err,top_bucket,t_top,path
PLTR,2023-06-07,ok,2023-06-16,9,16.0,16.0,7,12.0|13.5|14.5|16.0|17.5|18.5|20.0,389,1.0,0.0,,post10,2023-06-07 10:08:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\PLTR_20230607.pkl
AI,2023-06-16,ok,2023-06-23,7,47.5,47.5,8,36.0|39.0|42.0|45.0|47.5|48.5|53.0|59.0,389,1.0,0.0,,open30,2023-06-16 09:36:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AI_20230616.pkl
TSLA,2023-06-21,ok,2023-06-30,9,275.0,275.0,8,210.0|232.5|250.0|270.0|275.0|287.5|315.0|342.5,389,1.0,0.0,,premarket,2023-06-21 04:51:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\TSLA_20230621.pkl
JOBY,2023-06-29,ok,2023-07-21,22,10.0,10.0,3,7.5|10.0|12.5,388,0.997,0.0,,open30,2023-06-29 09:56:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\JOBY_20230629.pkl
RIVN,2023-07-10,ok,2023-07-21,11,25.0,25.0,7,19.0|21.0|23.0|25.0|27.0|29.0|31.0,389,1.0,0.0,,post10,2023-07-10 11:38:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\RIVN_20230710.pkl
COIN,2023-07-12,ok,2023-07-21,9,88.0,88.0,7,66.0|73.0|81.0|88.0|95.0|103.0|110.0,389,1.0,0.0,,premarket,2023-07-12 08:02:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\COIN_20230712.pkl
MARA,2023-07-14,ok,2023-07-21,7,19.5,19.5,8,15.0|16.5|18.0|19.0|19.5|20.5|22.0|24.0,389,1.0,0.0,,open30,2023-07-14 09:37:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MARA_20230714.pkl
RIOT,2023-07-14,ok,2023-07-21,7,20.5,20.5,7,15.5|16.5|18.0|19.5|20.5|22.0|25.0,389,1.0,0.0,,premarket,2023-07-14 08:04:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\RIOT_20230714.pkl
NKLA,2023-07-14,ok,2023-07-21,7,2.5,2.5,3,2.0|2.5|3.0,389,1.0,0.003,,open30,2023-07-14 09:39:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NKLA_20230714.pkl
BITO,2023-12-29,ok,2024-01-05,7,21.0,21.0,7,16.0|17.5|19.0|21.0|22.5|24.0|26.0,389,1.0,0.0,,open30,2023-12-29 09:43:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BITO_20231229.pkl
