expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,net_pnl,news_type,tags,setup_type,underlying_price,hold_window,trade_idx
2025-05-02,INTC,20.5,call,20,201,60,50,1,0.23,0.22,50,2025-05-01T11:17:28.872,0.225,0.010000000000000009,0.04444444444444448,True,2025-05-02,1,0.0034263338228096075,ATM,0.07000000000000028,0.225,0.23,0.35,0.33,0.5555555555555555,0.43478260869565216,0.12077294685990331,13.0,13.0,4122,0.06044604079737035,0.4145,-0.1171,0.4536,0.0269,0.6125,40.0,12.5,20.0,7.5,80.0,1,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,15,2719
2025-05-02,INTC,20.0,call,7,10,60,50,7,0.53,0.52,50,2025-05-01T11:17:28.160,0.525,0.010000000000000009,0.019047619047619063,True,2025-05-02,1,-0.02104747919725892,ITM,0.4299999999999997,0.525,0.53,0.68,0.64,0.2952380952380953,0.2075471698113207,0.08769092542677459,7.0,8.0,1141,0.059263939234133735,0.6873,-0.1071,0.4121,0.0442,0.6125,20.0,25.0,10.0,7.5,62.5,2,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,15,2719
2025-05-02,INTC,20.5,call,20,201,60,50,1,0.23,0.22,50,2025-05-01T11:17:28.872,0.225,0.010000000000000009,0.04444444444444448,True,2025-05-02,1,0.0034263338228096075,ATM,0.07000000000000028,0.225,0.23,0.39,0.38,0.7333333333333334,0.6521739130434782,0.08115942028985523,20.0,24.0,5201,0.055246400436480055,0.4145,-0.1171,0.4536,0.0269,0.6125,40.0,12.5,20.0,7.5,80.0,1,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,30,2719
2025-05-02,INTC,20.0,call,7,10,60,50,7,0.53,0.52,50,2025-05-01T11:17:28.160,0.525,0.010000000000000009,0.019047619047619063,True,2025-05-02,1,-0.02104747919725892,ITM,0.4299999999999997,0.525,0.53,0.74,0.72,0.40952380952380946,0.3584905660377357,0.05103324348607374,20.0,20.0,1490,0.05379998247934243,0.6873,-0.1071,0.4121,0.0442,0.6125,20.0,25.0,10.0,7.5,62.5,2,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,30,2719
2025-05-02,NVDA,115.0,call,25,78,69,50,43,1.04,1.01,50,2025-05-01T11:15:22.980,1.025,0.030000000000000027,0.02926829268292686,True,2025-05-02,1,0.010722446827210396,ATM,1.2199999999999989,1.025,1.04,1.65,1.62,0.6097560975609757,0.5576923076923077,0.052063789868668,3.0,4.0,27062,0.011504651935098715,0.3603,-0.615,2.4336,0.1311,0.6007,28.571428571428573,17.857142857142858,20.0,7.5,73.92857142857143,1,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,114.0,call,23,52,69,50,65,1.47,1.44,50,2025-05-01T11:15:22.999,1.455,0.030000000000000027,0.020618556701030945,True,2025-05-02,1,0.0019335559852346534,ATM,0.21999999999999886,1.455,1.47,2.15,2.11,0.4776632302405497,0.4353741496598639,0.04228908058068581,3.0,4.0,15103,0.00701681113955247,0.4595,-0.6633,2.5808,0.1667,0.6101,22.857142857142854,25.0,17.142857142857142,7.5,72.5,2,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,117.0,call,177,48,4,50,47,0.48,0.47,50,2025-05-01T11:15:22.994,0.475,0.010000000000000009,0.02105263157894739,True,2025-05-02,1,0.02830022851116188,OTM,3.219999999999999,0.475,0.48,0.92,0.89,0.936842105263158,0.8541666666666667,0.08267543859649129,3.0,4.0,6907,0.01508436867578703,0.1937,-0.4474,1.7856,0.0708,0.5968,40.0,10.714285714285714,11.428571428571427,7.5,69.64285714285714,3,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,116.0,call,15,37,7,50,60,0.71,0.69,50,2025-05-01T11:15:22.980,0.7,0.020000000000000018,0.0285714285714286,True,2025-05-02,1,0.019511337669186137,ATM,2.219999999999999,0.7,0.71,1.24,1.2,0.7714285714285716,0.6901408450704225,0.08128772635814907,4.0,4.0,5602,0.01327663450369226,0.2698,-0.5391,2.1495,0.0984,0.5968,34.285714285714285,14.285714285714285,8.571428571428571,7.5,64.64285714285714,4,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,113.0,call,25,766,31,50,73,2.01,1.98,50,2025-05-01T11:15:22.998,1.9949999999999999,0.029999999999999805,0.01503759398496231,True,2025-05-02,1,-0.006855334856741089,ATM,0.7800000000000011,1.9949999999999999,2.01,2.76,2.71,0.38345864661654133,0.3482587064676618,0.035199940148879505,3.0,4.0,8260,0.008024249869989845,0.5588,-0.6751,2.5659,0.2019,0.6234,17.142857142857142,21.428571428571427,14.285714285714286,7.5,60.357142857142854,5,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,112.0,call,22,20,7,50,5,2.64,2.61,50,2025-05-01T11:15:22.972,2.625,0.03000000000000025,0.011428571428571524,True,2025-05-02,1,-0.015644225698716832,ATM,1.7800000000000011,2.625,2.64,3.45,3.4,0.31428571428571433,0.2878787878787878,0.026406926406926545,2.0,4.0,1726,0.015518301843621166,0.6519,-0.645,2.4036,0.2346,0.6343,11.428571428571427,7.142857142857142,5.7142857142857135,7.5,31.785714285714285,6,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,111.0,call,105,55,4,50,4,3.4,3.3,50,2025-05-01T11:15:22.973,3.3499999999999996,0.10000000000000009,0.029850746268656747,True,2025-05-02,1,-0.024433116540692575,ITM,2.780000000000001,3.3499999999999996,3.4,4.21,4.15,0.25671641791044786,0.22058823529411778,0.03612818261633008,3.0,2.0,1239,0.017348089190873946,0.7342,-0.5855,2.1328,0.2629,0.6468,5.7142857142857135,3.571428571428571,2.8571428571428568,7.5,19.642857142857142,7,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,5,2720
2025-05-02,NVDA,115.0,call,25,78,69,50,43,1.04,1.01,50,2025-05-01T11:15:22.980,1.025,0.030000000000000027,0.02926829268292686,True,2025-05-02,1,0.010722446827210396,ATM,1.2199999999999989,1.025,1.04,1.76,1.73,0.7170731707317075,0.6634615384615384,0.053611632270169074,6.0,6.0,45218,0.010491781481630554,0.3603,-0.615,2.4336,0.1311,0.6007,28.571428571428573,17.857142857142858,20.0,7.5,73.92857142857143,1,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,15,2720
2025-05-02,NVDA,117.0,call,177,48,4,50,47,0.48,0.47,50,2025-05-01T11:15:22.994,0.475,0.010000000000000009,0.02105263157894739,True,2025-05-02,1,0.02830022851116188,OTM,3.219999999999999,0.475,0.48,0.99,0.97,1.0842105263157895,1.0208333333333333,0.06337719298245625,5.0,6.0,14698,0.016262199117808972,0.1937,-0.4474,1.7856,0.0708,0.5968,40.0,10.714285714285714,14.285714285714286,7.5,72.5,2,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,15,2720
2025-05-02,NVDA,114.0,call,23,52,69,50,65,1.47,1.44,50,2025-05-01T11:15:22.999,1.455,0.030000000000000027,0.020618556701030945,True,2025-05-02,1,0.0019335559852346534,ATM,0.21999999999999886,1.455,1.47,2.28,2.25,0.5670103092783503,0.5306122448979592,0.03639806438039106,6.0,6.0,21644,0.009415760767761775,0.4595,-0.6633,2.5808,0.1667,0.6101,22.857142857142854,21.428571428571427,17.142857142857142,7.5,68.92857142857142,3,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,15,2720
2025-05-02,NVDA,116.0,call,15,37,7,50,60,0.71,0.69,50,2025-05-01T11:15:22.980,0.7,0.020000000000000018,0.0285714285714286,True,2025-05-02,1,0.019511337669186137,ATM,2.219999999999999,0.7,0.71,1.33,1.31,0.9000000000000002,0.8450704225352115,0.05492957746478877,5.0,6.0,13524,0.014212978115256868,0.2698,-0.5391,2.1495,0.0984,0.5968,34.285714285714285,14.285714285714285,11.428571428571427,7.5,67.5,4,2025-05-01,2025-05-01 11:15:23,1,14633,,"news,[VPN],[US]",news,113.78,15,2720
